symbol,n,gain_pct,nw_t,p_two_sided,p_bh
AVAXUSDT,911,11.650679323750978,6.811653311616578,9.648339903778012e-12,1.640217783642262e-10
SOLUSDT,911,10.657122054314193,6.331969212735714,2.4205179342727927e-10,2.0574402441318736e-09
ETHUSDT,911,9.894498004548835,6.166008296173151,7.003541165513459e-10,3.968673327124294e-09
NEARUSDT,911,9.246553593412898,4.590239039650111,4.4273867794132155e-06,1.075222503571781e-05
LINKUSDT,911,8.8458126636764,4.797255638288006,1.608542588508449e-06,6.086654849010176e-06
XRPUSDT,911,7.894201079950003,4.77577185822399,1.7901926026500517e-06,6.086654849010176e-06
BTCUSDT,911,7.6308134079849825,4.7232259093899,2.321327436177241e-06,6.577094402502182e-06
BNBUSDT,911,7.375886329495995,3.842840716700868,0.0001216184041712511,0.0002374787243911713
DOGEUSDT,911,6.989364165354228,3.8346875100011975,0.00012572403056003187,0.0002374787243911713
ADAUSDT,911,6.759106491235089,3.398081022250601,0.0006786031922762787,0.0011536254268696739
MATICUSDT,253,6.379092312990298,1.9913114193113326,0.04644666080984553,0.052639548917824935
ETCUSDT,911,6.34619711496417,2.8884937535773583,0.0038709171705878097,0.005483799324999397
LTCUSDT,911,5.475344161948604,2.9064583783532982,0.0036554552641587523,0.005483799324999397
DOTUSDT,911,5.125886455839201,2.459026580210689,0.01393143029173053,0.018218024227647615
ALGOUSDT,911,4.729278412844307,2.0205588776572725,0.04332544946009414,0.05260947434440002
FILUSDT,911,3.490411258595172,1.6282268662025114,0.10347679008825447,0.10994408946877038
TRXUSDT,911,-0.15614245293325002,-0.07353145321318903,0.9413832157681945,0.9413832157681945
