omitted_asset,n,gain_pct,nw_t
ADAUSDT,13918,7.000406481227794,5.222386784653104
ALGOUSDT,13918,7.026907738186039,5.226659117096961
AVAXUSDT,13918,6.697978611213995,4.962322671409146
BNBUSDT,13918,7.001257792345738,5.156604773110698
BTCUSDT,13918,6.9698437027394755,5.08246505227517
DOGEUSDT,13918,6.987025693500415,5.16332469806815
DOTUSDT,13918,7.107234697611431,5.324927822968376
ETCUSDT,13918,7.028355082296978,5.284907094228347
ETHUSDT,13918,6.788932833049155,4.962480380822918
FILUSDT,13918,7.1972940758814,5.31581056101387
LINKUSDT,13918,6.874617476258749,5.105540601883558
LTCUSDT,13918,7.133083805931872,5.276705097697509
MATICUSDT,14576,7.000776161831501,5.115064284554772
NEARUSDT,13918,6.876718454271025,5.095481398921592
SOLUSDT,13918,6.817605619477041,5.003578609862315
TRXUSDT,13918,7.42848483906956,5.206507955149644
XRPUSDT,13918,6.933750694681773,5.07382561713669
